id,name,LGFi,FFi,FFo,Pi,Po
0,n0,0,0,-1,0,2
1,n1,0,1,-1,0,6
2,n2[0],0,1,-1,0,4
3,n2[1],0,1,-1,0,4
4,n2[2],0,1,-1,0,4
5,n2[3],0,1,-1,0,4
6,n2[4],0,1,-1,0,4
7,n2[5],0,1,-1,0,4
8,n2[6],0,1,-1,0,4
9,n2[7],0,1,-1,0,4
10,n2[8],0,2,-1,0,4
11,n2[9],0,2,-1,0,4
12,n2[10],0,2,-1,0,4
13,n2[11],0,2,-1,0,4
14,n2[12],0,2,-1,0,4
15,n2[13],0,2,-1,0,4
16,n2[14],0,2,-1,0,4
17,n2[15],0,2,-1,0,4
18,n2[16],0,2,-1,0,4
19,n2[17],0,2,-1,0,4
20,n2[18],0,2,-1,0,4
21,n2[19],0,2,-1,0,4
22,n2[20],0,2,-1,0,4
23,n2[21],0,2,-1,0,4
24,n2[22],0,2,-1,0,4
25,n2[23],0,2,-1,0,4
26,n2[24],0,2,-1,0,4
27,n2[25],0,2,-1,0,4
28,n2[26],0,2,-1,0,4
29,n2[27],0,2,-1,0,4
30,n2[28],0,2,-1,0,4
31,n2[29],0,2,-1,0,4
32,n2[30],0,2,-1,0,4
33,n2[31],0,2,-1,0,4
34,n2[32],0,2,-1,0,4
35,n2[33],0,2,-1,0,4
36,n2[34],0,2,-1,0,4
37,n2[35],0,2,-1,0,4
38,n2[36],0,2,-1,0,4
39,n2[37],0,2,-1,0,4
40,n2[38],0,2,-1,0,4
41,n2[39],0,2,-1,0,4
42,n2[40],0,2,-1,0,4
43,n2[41],0,2,-1,0,4
44,n2[42],0,2,-1,0,4
45,n2[43],0,2,-1,0,4
46,n2[44],0,2,-1,0,4
47,n2[45],0,2,-1,0,4
48,n2[46],0,2,-1,0,4
49,n2[47],0,2,-1,0,4
50,n2[48],0,2,-1,0,4
51,n2[49],0,2,-1,0,4
52,n2[50],0,2,-1,0,4
53,n2[51],0,2,-1,0,4
54,n2[52],0,2,-1,0,4
55,n2[53],0,2,-1,0,4
56,n2[54],0,2,-1,0,4
57,n2[55],0,2,-1,0,4
58,n2[56],0,2,-1,0,4
59,n2[57],0,2,-1,0,4
60,n2[58],0,2,-1,0,4
61,n2[59],0,2,-1,0,4
62,n2[60],0,2,-1,0,4
63,n2[61],0,2,-1,0,4
64,n2[62],0,2,-1,0,4
65,n2[63],0,2,-1,0,4
66,n2[64],0,2,-1,0,4
67,n2[65],0,2,-1,0,4
68,n2[66],0,2,-1,0,4
69,n2[67],0,2,-1,0,4
70,n2[68],0,2,-1,0,4
71,n2[69],0,2,-1,0,4
72,n2[70],0,2,-1,0,4
73,n2[71],0,2,-1,0,4
74,n2[72],0,2,-1,0,4
75,n2[73],0,2,-1,0,4
76,n2[74],0,2,-1,0,4
77,n2[75],0,2,-1,0,4
78,n2[76],0,2,-1,0,4
79,n2[77],0,2,-1,0,4
80,n2[78],0,2,-1,0,4
81,n2[79],0,2,-1,0,4
82,n2[80],0,2,-1,0,4
83,n2[81],0,2,-1,0,4
84,n2[82],0,2,-1,0,4
85,n2[83],0,2,-1,0,4
86,n2[84],0,2,-1,0,4
87,n2[85],0,2,-1,0,4
88,n2[86],0,2,-1,0,4
89,n2[87],0,2,-1,0,4
90,n2[88],0,2,-1,0,4
91,n2[89],0,2,-1,0,4
92,n2[90],0,2,-1,0,4
93,n2[91],0,2,-1,0,4
94,n2[92],0,2,-1,0,4
95,n2[93],0,2,-1,0,4
96,n2[94],0,2,-1,0,4
97,n2[95],0,2,-1,0,4
98,n2[96],0,2,-1,0,4
99,n2[97],0,2,-1,0,4
100,n2[98],0,2,-1,0,4
101,n2[99],0,2,-1,0,4
102,n2[100],0,2,-1,0,4
103,n2[101],0,2,-1,0,4
104,n2[102],0,2,-1,0,4
105,n2[103],0,2,-1,0,4
106,n2[104],0,2,-1,0,4
107,n2[105],0,2,-1,0,4
108,n2[106],0,2,-1,0,4
109,n2[107],0,2,-1,0,4
110,n2[108],0,2,-1,0,4
111,n2[109],0,2,-1,0,4
112,n2[110],0,2,-1,0,4
113,n2[111],0,2,-1,0,4
114,n2[112],0,2,-1,0,4
115,n2[113],0,2,-1,0,4
116,n2[114],0,2,-1,0,4
117,n2[115],0,2,-1,0,4
118,n2[116],0,2,-1,0,4
119,n2[117],0,2,-1,0,4
120,n2[118],0,2,-1,0,4
121,n2[119],0,2,-1,0,4
122,n2[120],0,2,-1,0,4
123,n2[121],0,2,-1,0,4
124,n2[122],0,2,-1,0,4
125,n2[123],0,2,-1,0,4
126,n2[124],0,2,-1,0,4
127,n2[125],0,2,-1,0,4
128,n2[126],0,2,-1,0,4
129,n2[127],0,2,-1,0,4
130,n3[0],4,-1,1,2,0
131,n3[1],4,-1,1,2,0
132,n3[2],4,-1,1,2,0
133,n3[3],4,-1,1,2,0
134,n3[4],4,-1,1,2,0
135,n3[5],4,-1,1,2,0
136,n3[6],4,-1,1,2,0
137,n3[7],4,-1,1,2,0
138,n3[8],4,-1,1,2,0
139,n3[9],4,-1,1,2,0
140,n3[10],4,-1,1,2,0
141,n3[11],4,-1,1,2,0
142,n3[12],4,-1,1,2,0
143,n3[13],4,-1,1,2,0
144,n3[14],4,-1,1,2,0
145,n3[15],4,-1,1,2,0
146,n3[16],4,-1,1,2,0
147,n3[17],4,-1,1,2,0
148,n3[18],4,-1,1,2,0
149,n3[19],4,-1,1,2,0
150,n3[20],4,-1,1,2,0
151,n3[21],4,-1,1,2,0
152,n3[22],4,-1,1,2,0
153,n3[23],4,-1,1,2,0
154,n3[24],4,-1,1,2,0
155,n3[25],4,-1,1,2,0
156,n3[26],4,-1,1,2,0
157,n3[27],4,-1,1,2,0
158,n3[28],4,-1,1,2,0
159,n3[29],4,-1,1,2,0
160,n3[30],4,-1,1,2,0
161,n3[31],4,-1,1,2,0
162,n3[32],4,-1,1,2,0
163,n3[33],4,-1,1,2,0
164,n3[34],4,-1,1,2,0
165,n3[35],4,-1,1,2,0
166,n3[36],4,-1,1,2,0
167,n3[37],4,-1,1,2,0
168,n3[38],4,-1,1,2,0
169,n3[39],4,-1,1,2,0
170,n3[40],4,-1,1,2,0
171,n3[41],4,-1,1,2,0
172,n3[42],4,-1,1,2,0
173,n3[43],4,-1,1,2,0
174,n3[44],4,-1,1,2,0
175,n3[45],4,-1,1,2,0
176,n3[46],4,-1,1,2,0
177,n3[47],4,-1,1,2,0
178,n3[48],4,-1,1,2,0
179,n3[49],4,-1,1,2,0
180,n3[50],4,-1,1,2,0
181,n3[51],4,-1,1,2,0
182,n3[52],4,-1,1,2,0
183,n3[53],4,-1,1,2,0
184,n3[54],4,-1,1,2,0
185,n3[55],4,-1,1,2,0
186,n3[56],4,-1,1,2,0
187,n3[57],4,-1,1,2,0
188,n3[58],4,-1,1,2,0
189,n3[59],4,-1,1,2,0
190,n3[60],4,-1,1,2,0
191,n3[61],4,-1,1,2,0
192,n3[62],4,-1,1,2,0
193,n3[63],4,-1,1,2,0
194,n4[0],4,-1,1,2,0
195,n4[1],4,-1,1,2,0
196,n4[2],4,-1,1,2,0
197,n4[3],4,-1,1,2,0
198,n4[4],4,-1,1,2,0
199,n4[5],4,-1,1,2,0
200,n4[6],4,-1,1,2,0
201,n4[7],4,-1,1,2,0
202,n4[8],4,-1,1,2,0
203,n4[9],4,-1,1,2,0
204,n4[10],4,-1,1,2,0
205,n4[11],4,-1,1,2,0
206,n4[12],4,-1,1,2,0
207,n4[13],4,-1,1,2,0
208,n4[14],4,-1,1,2,0
209,n4[15],4,-1,1,2,0
210,n4[16],4,-1,1,2,0
211,n4[17],4,-1,1,2,0
212,n4[18],4,-1,1,2,0
213,n4[19],4,-1,1,2,0
214,n4[20],4,-1,1,2,0
215,n4[21],4,-1,1,2,0
216,n4[22],4,-1,1,2,0
217,n4[23],4,-1,1,2,0
218,n4[24],4,-1,1,2,0
219,n4[25],4,-1,1,2,0
220,n4[26],4,-1,1,2,0
221,n4[27],4,-1,1,2,0
222,n4[28],4,-1,1,2,0
223,n4[29],4,-1,1,2,0
224,n4[30],4,-1,1,2,0
225,n4[31],4,-1,1,2,0
226,n4[32],4,-1,1,2,0
227,n4[33],4,-1,1,2,0
228,n4[34],4,-1,1,2,0
229,n4[35],4,-1,1,2,0
230,n4[36],4,-1,1,2,0
231,n4[37],4,-1,1,2,0
232,n4[38],4,-1,1,2,0
233,n4[39],4,-1,1,2,0
234,n4[40],4,-1,1,2,0
235,n4[41],4,-1,1,2,0
236,n4[42],4,-1,1,2,0
237,n4[43],4,-1,1,2,0
238,n4[44],4,-1,1,2,0
239,n4[45],4,-1,1,2,0
240,n4[46],4,-1,1,2,0
241,n4[47],4,-1,1,2,0
242,n4[48],4,-1,1,2,0
243,n4[49],4,-1,1,2,0
244,n4[50],4,-1,1,2,0
245,n4[51],4,-1,1,2,0
246,n4[52],4,-1,1,2,0
247,n4[53],4,-1,1,2,0
248,n4[54],4,-1,1,2,0
249,n4[55],4,-1,1,2,0
250,n4[56],4,-1,1,2,0
251,n4[57],4,-1,1,2,0
252,n4[58],4,-1,1,2,0
253,n4[59],4,-1,1,2,0
254,n4[60],4,-1,1,2,0
255,n4[61],4,-1,1,2,0
256,n4[62],4,-1,1,2,0
257,n4[63],4,-1,1,2,0
258,n5[0],4,-1,1,2,0
259,n5[1],4,-1,1,2,0
260,n5[2],4,-1,1,2,0
261,n5[3],4,-1,1,2,0
262,n5[4],4,-1,1,2,0
263,n5[5],4,-1,1,2,0
264,n5[6],4,-1,1,2,0
265,n5[7],4,-1,1,2,0
266,n5[8],4,-1,1,2,0
267,n5[9],4,-1,1,2,0
268,n5[10],4,-1,1,2,0
269,n5[11],4,-1,1,2,0
270,n5[12],4,-1,1,2,0
271,n5[13],4,-1,1,2,0
272,n5[14],4,-1,1,2,0
273,n5[15],4,-1,1,2,0
274,n5[16],4,-1,1,2,0
275,n5[17],4,-1,1,2,0
276,n5[18],4,-1,1,2,0
277,n5[19],4,-1,1,2,0
278,n5[20],4,-1,1,2,0
279,n5[21],4,-1,1,2,0
280,n5[22],4,-1,1,2,0
281,n5[23],4,-1,1,2,0
282,n5[24],4,-1,1,2,0
283,n5[25],4,-1,1,2,0
284,n5[26],4,-1,1,2,0
285,n5[27],4,-1,1,2,0
286,n5[28],4,-1,1,2,0
287,n5[29],4,-1,1,2,0
288,n5[30],4,-1,1,2,0
289,n5[31],4,-1,1,2,0
290,n5[32],4,-1,1,2,0
291,n5[33],4,-1,1,2,0
292,n5[34],4,-1,1,2,0
293,n5[35],4,-1,1,2,0
294,n5[36],4,-1,1,2,0
295,n5[37],4,-1,1,2,0
296,n5[38],4,-1,1,2,0
297,n5[39],4,-1,1,2,0
298,n5[40],4,-1,1,2,0
299,n5[41],4,-1,1,2,0
300,n5[42],4,-1,1,2,0
301,n5[43],4,-1,1,2,0
302,n5[44],4,-1,1,2,0
303,n5[45],4,-1,1,2,0
304,n5[46],4,-1,1,2,0
305,n5[47],4,-1,1,2,0
306,n5[48],4,-1,1,2,0
307,n5[49],4,-1,1,2,0
308,n5[50],4,-1,1,2,0
309,n5[51],4,-1,1,2,0
310,n5[52],4,-1,1,2,0
311,n5[53],4,-1,1,2,0
312,n5[54],4,-1,1,2,0
313,n5[55],4,-1,1,2,0
314,n5[56],4,-1,1,2,0
315,n5[57],4,-1,1,2,0
316,n5[58],4,-1,1,2,0
317,n5[59],4,-1,1,2,0
318,n5[60],4,-1,1,2,0
319,n5[61],4,-1,1,2,0
320,n5[62],4,-1,1,2,0
321,n5[63],4,-1,1,2,0
322,g0,4,1,2,3,3
323,g1,4,2,4,4,4
324,g2,4,4,2,2,6
325,g3,6,3,1,2,5
326,g4,5,7,1,2,9
